iter	Passed	Remaining
0	49	39911
1	51	20663
2	53	14177
3	55	10946
4	56	8954
5	57	7642
6	59	6695
7	60	5997
8	61	5386
9	61	4889
10	62	4504
11	63	4195
12	65	3953
13	66	3748
14	67	3556
15	69	3393
16	70	3245
17	71	3109
18	72	2999
19	74	2895
20	75	2798
21	77	2734
22	78	2655
23	79	2586
24	81	2523
25	82	2466
26	84	2405
27	85	2354
28	86	2303
29	87	2256
30	89	2210
31	90	2169
32	91	2137
33	93	2112
34	95	2080
35	96	2052
36	97	2008
37	98	1978
38	99	1949
39	101	1920
40	102	1897
41	103	1866
42	104	1841
43	105	1814
44	106	1782
45	107	1768
46	108	1745
47	110	1727
48	111	1705
49	111	1677
50	113	1660
51	114	1649
52	115	1629
53	116	1605
54	116	1584
55	118	1571
56	119	1558
57	120	1536
58	120	1519
59	121	1504
60	123	1492
61	124	1478
62	124	1461
63	126	1452
64	127	1442
65	128	1430
66	129	1419
67	130	1409
68	131	1393
69	132	1385
70	133	1371
71	134	1357
72	134	1343
73	136	1337
74	137	1331
75	138	1321
76	139	1309
77	140	1301
78	141	1294
79	142	1280
80	143	1276
81	145	1271
82	145	1261
83	147	1257
84	148	1245
85	149	1240
86	150	1233
87	151	1225
88	152	1220
89	153	1211
90	154	1202
91	155	1193
92	155	1184
93	156	1174
94	157	1165
95	157	1157
96	159	1154
97	160	1147
98	161	1142
99	162	1137
100	163	1129
101	163	1120
102	164	1113
103	165	1107
104	165	1098
105	166	1089
106	167	1084
107	168	1081
108	169	1073
109	169	1066
110	170	1060
111	172	1058
112	172	1051
113	173	1044
114	174	1040
115	176	1038
116	177	1033
117	178	1030
118	179	1026
119	180	1022
120	181	1017
121	181	1010
122	182	1006
123	183	1002
124	184	998
125	186	995
126	186	989
127	188	988
128	189	985
129	190	979
130	190	974
131	191	970
132	192	964
133	193	960
134	194	958
135	195	952
136	195	948
137	196	944
138	197	939
139	198	933
140	198	928
141	199	925
142	200	923
143	201	919
144	202	916
145	203	912
146	204	908
147	205	903
148	205	899
149	206	894
150	206	889
151	208	886
152	208	881
153	209	880
154	211	878
155	212	875
156	212	870
157	214	870
158	215	867
159	216	865
160	217	862
161	218	859
162	218	855
163	220	854
164	220	850
165	222	848
166	223	845
167	224	843
168	225	842
169	226	840
170	228	839
171	229	838
172	231	838
173	232	837
174	234	835
175	234	831
176	235	829
177	236	827
178	237	824
179	238	822
180	239	820
181	240	817
182	241	815
183	242	811
184	243	810
185	245	809
186	246	807
187	247	806
188	248	802
189	249	800
190	251	800
191	252	798
192	253	796
193	254	795
194	255	792
195	256	788
196	257	788
197	258	786
198	260	786
199	261	784
200	262	782
201	263	779
202	264	776
203	265	774
204	266	773
205	267	770
206	268	767
207	268	764
208	269	762
209	270	759
210	271	757
211	272	756
212	273	754
213	275	753
214	276	752
215	277	750
216	278	749
217	280	747
218	281	746
219	282	744
220	283	743
221	285	742
222	286	741
223	287	738
224	288	737
225	289	736
226	291	735
227	291	732
228	293	732
229	295	732
230	296	729
231	297	728
232	298	726
233	299	725
234	300	723
235	302	722
236	303	720
237	304	719
238	305	717
239	307	716
240	308	715
241	309	713
242	310	711
243	311	710
244	312	708
245	313	706
246	314	704
247	315	703
248	317	702
249	318	700
250	319	698
251	320	697
252	322	696
253	323	695
254	324	694
255	326	693
256	327	691
257	328	690
258	329	689
259	330	687
260	331	685
261	332	683
262	334	682
263	336	682
264	338	682
265	340	683
266	342	684
267	344	683
268	345	682
269	347	682
270	349	681
271	350	680
272	351	679
273	353	678
274	355	679
275	357	678
276	358	677
277	360	676
278	361	674
279	362	673
280	364	672
281	365	671
282	367	670
283	368	669
284	369	668
285	371	668
286	372	666
287	374	665
288	375	664
289	377	663
290	378	661
291	379	660
292	380	658
293	381	656
294	382	655
295	383	653
296	385	652
297	385	650
