Type,Timestamp,Bytes,Packets,new_Type
IoT,7723,215692,449,IoT
IoT,7780,221424,460,IoT
IoT,7783,110862,232,IoT
IoT,7801,209722,435,IoT
IoT,12460,240,4,Video
IoT,12463,120,2,Video
IoT,12481,362000,865,IoT
IoT,12499,396908,825,IoT
IoT,12526,882298,1834,IoT
IoT,12532,866729,1803,IoT
IoT,12538,805456,1683,IoT
IoT,12559,395011,821,IoT
IoT,12565,787795,1647,IoT
IoT,12580,796849,1657,IoT
IoT,12595,791590,1653,IoT
IoT,12601,791783,1655,IoT
IoT,12631,783350,1635,IoT
IoT,12658,794279,1650,IoT
IoT,12679,793116,1651,IoT
IoT,12682,405089,841,IoT
IoT,12697,164973,344,IoT
IoT,12703,214562,447,IoT
IoT,12718,105436,221,IoT
IoT,12739,221160,471,IoT
IoT,12751,219450,458,IoT
IoT,12760,220680,464,IoT
IoT,12778,214318,456,IoT
IoT,12802,215101,449,IoT
IoT,12826,217606,455,IoT
IoT,12838,217462,453,IoT
IoT,12874,220356,459,IoT
IoT,12880,220680,464,IoT
IoT,12904,201046,419,IoT
IoT,12913,321518,673,IoT
IoT,12928,217518,454,IoT
IoT,12946,220506,461,IoT
IoT,12970,202466,428,IoT
IoT,13006,214357,450,IoT
IoT,13024,220356,459,IoT
IoT,13060,214620,448,IoT
IoT,13078,215588,450,Video
IoT,13096,221120,465,IoT
IoT,13156,214562,454,IoT
IoT,13174,220680,464,IoT
IoT,13180,220416,460,IoT
IoT,13186,217608,455,IoT
IoT,13195,221641,468,IoT
IoT,13201,220415,460,IoT
IoT,13219,209459,439,IoT
IoT,13225,219171,460,IoT
IoT,13270,220416,460,IoT
IoT,13279,221094,470,IoT
IoT,13294,108699,226,IoT
IoT,13300,217522,454,IoT
IoT,13306,208433,436,Video
IoT,13315,106344,222,IoT
IoT,13321,217458,453,IoT
IoT,13330,107436,226,IoT
IoT,13336,221120,465,IoT
IoT,13342,220416,460,IoT
IoT,13357,220356,459,IoT
IoT,13393,213306,448,IoT
IoT,13405,219389,457,IoT
IoT,13417,220488,461,IoT
IoT,13423,220416,460,IoT
IoT,13453,221029,464,IoT
IoT,13483,219012,464,IoT
IoT,13531,221328,460,IoT
IoT,13549,221418,461,IoT
IoT,13555,211623,442,IoT
IoT,13579,212208,442,IoT
IoT,13591,221724,466,IoT
IoT,13609,221478,462,IoT
IoT,13627,221328,460,IoT
IoT,13633,221942,464,IoT
IoT,13639,209912,439,IoT
IoT,13669,221478,462,IoT
IoT,13681,221328,460,IoT
IoT,13684,110664,230,IoT
IoT,13690,221592,464,IoT
IoT,13702,221328,460,IoT
IoT,13714,217446,452,IoT
IoT,13720,219817,456,IoT
IoT,13726,215013,453,IoT
IoT,13732,212461,442,IoT
IoT,13756,110754,231,IoT
IoT,13762,221724,466,IoT
IoT,13777,111000,235,IoT
IoT,13798,110664,230,IoT
IoT,13825,219388,456,IoT
IoT,13861,111120,237,IoT
IoT,13867,221268,459,IoT
IoT,13903,210173,437,IoT
IoT,13933,222542,473,Video
IoT,14017,221532,463,IoT
IoT,14023,218418,454,IoT
IoT,14095,220217,458,IoT
IoT,14113,219032,458,IoT
IoT,14119,221107,469,IoT
IoT,14125,213089,443,IoT
IoT,14137,218886,461,IoT
IoT,14155,220159,457,IoT
IoT,14167,221928,469,IoT
IoT,14197,218358,453,IoT
IoT,14203,215618,456,IoT
IoT,14221,212510,447,IoT
IoT,14269,218964,462,IoT
IoT,14275,218277,454,IoT
IoT,14287,218950,462,IoT
IoT,14299,215602,449,IoT
IoT,14305,219986,465,IoT
IoT,14317,217933,453,IoT
IoT,14329,221478,462,IoT
IoT,14335,220217,458,IoT
IoT,14341,219108,458,IoT
IoT,14347,219874,457,IoT
IoT,14377,216534,451,IoT
IoT,14383,220360,458,IoT
IoT,14401,221268,459,IoT
IoT,14407,221592,464,IoT
IoT,14430,221424,460,IoT
IoT,14432,108714,225,IoT
IoT,14434,215692,449,IoT
IoT,14449,245378979,514572,IoT
IoT,14451,221424,460,IoT
IoT,14457,220317,458,IoT
IoT,14466,120,2,Video
IoT,14470,453228,965,IoT
IoT,14472,362000,865,IoT
IoT,14512,793334,1649,IoT
IoT,14516,396426,824,IoT
IoT,14520,866729,1803,IoT
IoT,14530,395011,821,IoT
IoT,14536,793325,1655,IoT
IoT,14538,796849,1657,IoT
IoT,14540,792382,1648,IoT
IoT,14552,794668,1656,IoT
IoT,14560,789952,1647,IoT
IoT,14564,794279,1650,IoT
IoT,14572,405089,841,IoT
IoT,14574,797389,1659,IoT
IoT,14578,164973,344,IoT
IoT,14580,214562,447,IoT
IoT,14594,221160,471,IoT
IoT,14624,217606,455,IoT
IoT,14634,221120,465,IoT
IoT,14640,220356,459,IoT
IoT,14642,220680,464,IoT
IoT,14648,220680,464,IoT
IoT,14652,321518,673,IoT
IoT,14664,220506,461,IoT
IoT,14668,220416,460,IoT
IoT,14670,220356,459,IoT
IoT,14680,108275,226,IoT
IoT,14686,221245,462,IoT
IoT,14690,220356,459,IoT
IoT,14696,218486,456,IoT
IoT,14698,216070,451,IoT
IoT,14700,217288,463,IoT
IoT,14702,214620,448,IoT
IoT,14704,217125,454,IoT
IoT,14708,215588,450,Video
IoT,14710,220356,459,IoT
IoT,14722,219934,459,IoT
IoT,14734,214562,454,IoT
IoT,14752,217590,455,IoT
IoT,14758,219171,460,IoT
IoT,14764,220812,466,IoT
IoT,14768,218287,455,IoT
IoT,14772,220422,460,IoT
IoT,14794,217458,453,IoT
IoT,14802,220416,460,IoT
IoT,14804,110676,237,IoT
IoT,14810,218927,469,IoT
IoT,14814,215871,450,IoT
IoT,14824,219389,457,IoT
IoT,14838,219450,458,IoT
IoT,14860,212251,444,IoT
IoT,14862,219741,461,IoT
IoT,14864,221862,464,IoT
IoT,14870,221328,460,IoT
IoT,14876,213568,444,IoT
IoT,14882,212208,442,IoT
IoT,14884,219873,457,IoT
IoT,14888,220298,457,IoT
IoT,14898,221328,460,IoT
IoT,14918,221328,460,IoT
IoT,14928,221532,463,IoT
IoT,14930,217446,452,IoT
IoT,14932,219817,456,IoT
IoT,14940,67171,174,IoT
IoT,14950,221268,459,IoT
IoT,14956,221328,460,IoT
IoT,14966,221658,465,IoT
IoT,14970,209300,436,IoT
IoT,14972,219388,456,IoT
IoT,14974,207663,437,IoT
IoT,14980,222078,471,IoT
IoT,14998,210948,441,IoT
IoT,15002,221328,460,IoT
IoT,15004,221268,459,IoT
IoT,15006,222542,473,Video
IoT,15014,221268,459,IoT
IoT,15018,218904,461,IoT
IoT,15022,208959,444,IoT
IoT,15026,221457,463,IoT
IoT,15028,221742,466,IoT
IoT,15030,221388,461,IoT
IoT,15038,221478,462,IoT
IoT,15042,218904,455,IoT
IoT,15050,219894,470,IoT
IoT,15054,220358,458,IoT
IoT,15078,220159,457,IoT
IoT,15086,221418,461,IoT
IoT,15088,221724,466,IoT
IoT,15100,212510,447,IoT
IoT,15110,221729,466,IoT
IoT,15124,212242,444,IoT
IoT,15126,215602,449,IoT
IoT,15130,218846,454,IoT
IoT,15134,221592,464,IoT
IoT,15142,219874,457,IoT
IoT,15150,212806,445,IoT
IoT,15154,220360,458,IoT
IoT,15166,219478,457,IoT
IoT,15175,108714,225,IoT
IoT,15181,217883,453,IoT
IoT,15196,110862,232,IoT
IoT,15198,221544,462,IoT
IoT,15209,120,2,Video
IoT,15211,76269,169,IoT
IoT,15215,362000,865,IoT
IoT,15235,396908,825,IoT
IoT,15247,394437,819,IoT
IoT,15259,396426,824,IoT
IoT,15261,882298,1834,IoT
IoT,15265,805456,1683,IoT
IoT,15267,789180,1644,IoT
IoT,15273,395011,821,IoT
IoT,15275,787795,1647,IoT
IoT,15277,396968,826,IoT
IoT,15279,793325,1655,IoT
IoT,15285,396460,828,IoT
IoT,15287,791590,1653,IoT
IoT,15289,791783,1655,IoT
IoT,15293,797454,1666,IoT
IoT,15297,784739,1631,IoT
IoT,15301,783350,1635,IoT
IoT,15303,789952,1647,IoT
IoT,15307,794279,1650,IoT
IoT,15311,801205,1667,IoT
IoT,15313,793116,1651,IoT
IoT,15325,218754,460,IoT
IoT,15327,217323,453,IoT
IoT,15331,220488,461,IoT
IoT,15335,109796,231,IoT
IoT,15337,221160,471,IoT
IoT,15341,219450,458,IoT
IoT,15349,215455,450,IoT
IoT,15353,218424,455,IoT
IoT,15361,220746,465,Video
IoT,15363,219456,458,IoT
IoT,15371,217462,453,IoT
IoT,15377,221120,465,IoT
IoT,15389,221365,464,IoT
IoT,15391,220680,464,IoT
IoT,15393,201046,419,IoT
IoT,15407,220506,461,IoT
IoT,15413,220356,459,IoT
IoT,15415,202466,428,IoT
IoT,15417,218222,459,IoT
IoT,15423,108275,226,IoT
IoT,15427,214357,450,IoT
IoT,15433,220356,459,IoT
IoT,15455,220812,466,IoT
IoT,15461,220752,465,IoT
IoT,15463,217518,454,IoT
IoT,15475,217522,454,IoT
IoT,15483,220680,464,IoT
IoT,15517,220416,460,IoT
IoT,15527,108699,226,IoT
IoT,15529,217522,454,IoT
IoT,15539,220422,460,IoT
IoT,15549,220416,460,IoT
IoT,15555,210007,441,IoT
IoT,15567,219389,457,IoT
IoT,15571,220488,461,IoT
IoT,15573,220416,460,IoT
IoT,15577,218554,459,IoT
IoT,15583,221029,464,IoT
IoT,15587,220620,463,IoT
IoT,15593,219012,464,IoT
IoT,15599,222048,471,IoT
IoT,15603,212251,444,IoT
IoT,15609,221328,460,IoT
IoT,15619,213568,444,IoT
IoT,15625,212208,442,IoT
IoT,15627,219873,457,IoT
IoT,15629,221724,466,IoT
IoT,15651,218071,455,IoT
IoT,15667,222032,465,IoT
IoT,15675,219817,456,IoT
IoT,15689,110754,231,IoT
IoT,15693,221268,459,IoT
