Type	Timestamp	Bytes	Packets
IoT	7702	221424	460
IoT	7708	221424	460
IoT	7714	108714	225
IoT	7717	216581	450
IoT	7729	217883	453
IoT	7735	106348	221
IoT	7738	209292	435
IoT	7744	217969	452
IoT	7750	79742	238
IoT	7756	221544	462
IoT	7774	220317	458
IoT	7789	76269	169
IoT	7795	453228	965
IoT	12448	403462	842
IoT	12469	760888	1586
IoT	12475	375802	784
IoT	12484	404304	842
IoT	12490	404642	841
IoT	12493	394437	819
IoT	12496	793334	1649
IoT	12502	798658	1660
IoT	12505	396426	824
IoT	12511	789180	1644
IoT	12517	774698	1619
IoT	12520	396968	826
IoT	12544	793325	1655
IoT	12556	792382	1648
IoT	12568	396460	828
IoT	12574	398270	826
IoT	12586	797454	1666
IoT	12589	794668	1656
IoT	12604	784739	1631
IoT	12610	394598	821
IoT	12616	789952	1647
IoT	12622	397834	831
IoT	12625	792162	1643
IoT	12637	801205	1667
IoT	12646	797389	1659
IoT	12667	797574	1655
IoT	12673	218754	460
IoT	12688	217323	453
IoT	12694	220488	461
IoT	12709	220416	460
IoT	12715	109796	231
IoT	12724	218488	456
IoT	12730	106288	221
IoT	12733	216642	453
IoT	12745	215455	450
IoT	12754	218424	455
IoT	12766	220416	460
IoT	12772	215940	456
IoT	12784	220746	465
IoT	12790	219456	458
IoT	12796	220416	460
IoT	12808	220339	461
IoT	12814	176522	426
IoT	12820	207008	472
IoT	12832	221120	465
IoT	12844	222066	485
IoT	12850	220482	461
IoT	12856	220988	462
IoT	12862	221365	464
IoT	12868	220680	464
IoT	12886	108342	233
IoT	12892	218060	456
IoT	12898	220620	463
IoT	12916	220416	460
IoT	12922	221641	468
IoT	12934	220416	460
IoT	12940	220356	459
IoT	12952	218222	459
IoT	12958	218484	456
IoT	12964	328255	692
IoT	12976	108275	226
IoT	12982	218343	460
IoT	12991	221245	462
IoT	12994	220944	468
IoT	13000	220416	460
IoT	13012	216204	460
IoT	13018	218486	456
IoT	13030	216070	451
IoT	13036	217288	463
IoT	13042	217125	454
IoT	13048	214134	449
IoT	13054	220356	459
IoT	13066	220812	466
IoT	13072	220416	460
IoT	13084	220752	465
IoT	13090	217518	454
IoT	13102	219934	459
IoT	13108	217390	458
IoT	13114	210203	440
IoT	13120	211244	441
IoT	13126	220542	462
IoT	13132	217522	454
IoT	13138	220548	462
IoT	13144	220356	459
IoT	13150	110268	231
IoT	13162	217590	455
IoT	13168	212414	447
IoT	13189	217522	454
IoT	13207	213594	445
IoT	13213	220812	466
IoT	13231	220566	462
IoT	13237	218287	455
IoT	13243	110538	235
IoT	13249	220422	460
IoT	13255	110822	234
IoT	13258	215527	449
IoT	13264	215107	449
IoT	13273	221158	467
IoT	13285	220422	460
IoT	13291	110676	237
IoT	13312	220416	460
IoT	13327	218927	469
IoT	13345	210007	441
IoT	13351	215871	450
IoT	13363	220548	462
IoT	13369	217456	453
IoT	13375	214466	458
IoT	13381	220416	460
IoT	13387	221047	463
IoT	13399	218554	459
IoT	13411	205931	430
IoT	13429	219450	458
IoT	13435	220566	462
IoT	13441	220620	463
IoT	13447	218482	456
IoT	13459	205872	429
IoT	13465	220626	463
IoT	13471	221973	461
IoT	13477	222048	471
IoT	13489	214478	445
IoT	13495	212251	444
IoT	13501	219741	461
IoT	13507	221862	464
IoT	13513	221796	467
IoT	13519	221328	460
IoT	13525	213568	444
IoT	13537	221268	459
IoT	13543	215683	458
IoT	13561	219873	457
IoT	13567	220298	457
IoT	13573	221652	465
IoT	13585	222157	462
IoT	13597	221460	462
IoT	13603	214542	446
IoT	13615	104298	216
IoT	13621	218071	455
IoT	13645	213569	444
IoT	13648	110604	229
IoT	13654	221451	464
IoT	13660	222032	465
IoT	13663	221532	463
IoT	13675	211086	438
IoT	13696	67171	174
IoT	13708	191262	474
IoT	13738	220489	461
IoT	13741	221268	459
IoT	13747	221328	460
IoT	13753	221328	460
IoT	13768	221417	461
IoT	13774	222817	472
IoT	13783	218418	454
IoT	13789	221658	465
IoT	13795	105950	223
IoT	13804	209300	436
IoT	13810	207663	437
IoT	13813	110119	228
IoT	13819	221328	460
IoT	13831	222078	471
IoT	13834	222217	463
IoT	13840	219032	458
IoT	13846	221328	460
IoT	13852	216478	450
IoT	13873	214719	455
IoT	13885	210948	441
IoT	13891	222949	474
IoT	13897	221328	460
IoT	13909	221268	459
IoT	13915	221418	461
IoT	13921	221327	460
IoT	13927	219210	466
IoT	13939	221268	459
IoT	13945	221388	461
IoT	13951	218904	461
IoT	13957	211010	439
IoT	13963	208959	444
IoT	13969	215033	447
IoT	13975	221457	463
IoT	13981	221742	466
IoT	13987	221388	461
IoT	13993	221328	460
IoT	13999	221478	462
IoT	14005	222949	474
IoT	14011	218904	455
IoT	14029	208664	433
IoT	14035	221280	473
IoT	14041	208323	434
IoT	14047	219894	470
IoT	14053	219600	459
IoT	14059	220358	458
IoT	14065	221856	468
IoT	14071	221418	461
IoT	14077	221460	462
IoT	14083	216055	450
IoT	14089	210658	438
IoT	14101	220906	466
IoT	14131	220358	458
IoT	14143	220001	460
IoT	14149	221418	461
IoT	14161	221724	466
IoT	14173	218418	454
IoT	14179	215114	448
IoT	14185	221187	460
IoT	14191	219811	456
IoT	14209	220972	462
IoT	14215	217938	459
IoT	14227	221328	460
IoT	14233	221729	466
IoT	14239	219454	457
IoT	14245	221388	461
IoT	14251	219330	455
IoT	14257	212242	444
IoT	14263	218846	454
IoT	14281	221592	464
IoT	14293	220396	466
IoT	14311	217544	453
IoT	14323	219388	456
IoT	14353	212806	445
IoT	14359	215862	453
IoT	14365	219251	456
IoT	14371	221942	464
IoT	14389	219478	457
IoT	14395	216258	453
