iter	Logloss	Accuracy
0	0.6450273622	0.9089089089
1	0.5992237008	0.9269269269
2	0.5631923099	0.9159159159
3	0.5343801296	0.9379379379
4	0.5016128463	0.9299299299
5	0.4772808309	0.9369369369
6	0.4539823624	0.9369369369
7	0.4297364249	0.9369369369
8	0.407886575	0.9369369369
9	0.3840536009	0.9369369369
10	0.3630460464	0.9359359359
11	0.3360584223	0.9399399399
12	0.3223372182	0.9459459459
13	0.3108395102	0.9459459459
14	0.2940216107	0.9459459459
15	0.2851485585	0.9459459459
16	0.2758908827	0.9479479479
17	0.2636578062	0.9479479479
18	0.2524009354	0.9479479479
19	0.2410662781	0.9479479479
20	0.2365652912	0.9479479479
21	0.2284759376	0.9459459459
22	0.2249026391	0.9459459459
23	0.2205277729	0.9469469469
24	0.2146728933	0.9449449449
25	0.2070618134	0.9469469469
26	0.2005411456	0.9469469469
27	0.1947762157	0.9469469469
28	0.1908416662	0.9469469469
29	0.1864936124	0.9459459459
30	0.1813076156	0.9469469469
31	0.1769517544	0.9469469469
32	0.1739938164	0.9459459459
33	0.1701124927	0.9459459459
34	0.1665775549	0.9469469469
35	0.1636229334	0.950950951
36	0.1622924414	0.950950951
37	0.1606553322	0.9489489489
38	0.1577200244	0.950950951
39	0.1557304256	0.950950951
40	0.1539035537	0.950950951
41	0.1530497002	0.950950951
42	0.1517064605	0.950950951
43	0.1497091408	0.950950951
44	0.1487106776	0.950950951
45	0.1477595807	0.950950951
46	0.1467482743	0.950950951
47	0.1454336587	0.950950951
48	0.1442668637	0.950950951
49	0.1427280198	0.950950951
50	0.1416215752	0.950950951
51	0.140958686	0.950950951
52	0.1395455718	0.950950951
53	0.1395047318	0.950950951
54	0.1384794556	0.950950951
55	0.138138589	0.950950951
56	0.1378993448	0.950950951
57	0.1374312247	0.950950951
58	0.1369595661	0.950950951
59	0.1369289876	0.950950951
60	0.1364251146	0.950950951
61	0.135028589	0.950950951
62	0.135001294	0.950950951
63	0.1347002699	0.950950951
64	0.1345847471	0.950950951
65	0.1339402643	0.950950951
66	0.1331544443	0.951951952
67	0.1331248524	0.951951952
68	0.1328009086	0.951951952
69	0.1327802037	0.951951952
70	0.1322991549	0.951951952
71	0.1317898727	0.951951952
72	0.1310365442	0.951951952
73	0.1306818883	0.951951952
74	0.1302936149	0.951951952
75	0.1297259716	0.951951952
76	0.1295707307	0.951951952
77	0.1287062177	0.951951952
78	0.128540985	0.951951952
79	0.1283953631	0.951951952
80	0.1279927867	0.951951952
81	0.1279793864	0.951951952
82	0.1279665273	0.951951952
83	0.1277879742	0.951951952
84	0.1272484149	0.951951952
85	0.1257257708	0.951951952
86	0.1250579127	0.951951952
87	0.1244291683	0.951951952
88	0.1242193057	0.951951952
89	0.1241023485	0.951951952
90	0.1234749064	0.951951952
91	0.122949669	0.951951952
92	0.1228606703	0.951951952
93	0.1228405841	0.951951952
94	0.1221250553	0.951951952
95	0.1218718532	0.952952953
96	0.1215565496	0.952952953
97	0.1214775735	0.952952953
98	0.1214359491	0.952952953
99	0.1211620349	0.952952953
100	0.1208253656	0.952952953
101	0.1202973527	0.952952953
102	0.1202529215	0.952952953
103	0.1202418104	0.952952953
104	0.1198142966	0.952952953
105	0.1198064582	0.952952953
106	0.1197989032	0.952952953
107	0.1197292028	0.952952953
108	0.1197158294	0.952952953
109	0.1195029474	0.952952953
110	0.1194568885	0.952952953
111	0.1194503308	0.952952953
112	0.1194266608	0.952952953
113	0.1191679587	0.953953954
114	0.1188511263	0.953953954
115	0.1188171735	0.953953954
116	0.1185752354	0.953953954
117	0.118478893	0.952952953
118	0.1182820919	0.952952953
119	0.118243194	0.952952953
120	0.1178980452	0.952952953
121	0.117743976	0.952952953
122	0.1174959626	0.952952953
123	0.1174406659	0.952952953
124	0.117368204	0.952952953
