iter	Passed	Remaining
0	54	43856
1	57	22780
2	58	15617
3	60	12027
4	61	9854
5	63	8402
6	65	7408
7	67	6661
8	67	5976
9	69	5452
10	70	5024
11	71	4684
12	72	4380
13	72	4093
14	74	3877
15	74	3659
16	75	3470
17	76	3324
18	77	3193
19	79	3082
20	79	2961
21	81	2883
22	82	2782
23	83	2694
24	84	2618
25	86	2565
26	87	2502
27	88	2446
28	90	2404
29	92	2365
30	93	2318
31	94	2273
32	96	2239
33	97	2197
34	99	2166
35	100	2129
36	101	2091
37	102	2049
38	103	2018
39	104	1992
40	106	1965
41	106	1928
42	107	1897
43	109	1873
44	109	1844
45	111	1820
46	112	1804
47	113	1785
48	115	1767
49	116	1745
50	117	1727
51	118	1705
52	119	1688
53	120	1663
54	121	1644
55	122	1621
56	123	1604
57	124	1590
58	125	1572
59	125	1550
60	126	1537
61	128	1528
62	129	1511
63	129	1492
64	130	1477
65	131	1467
66	133	1456
67	133	1440
68	134	1428
69	135	1411
70	136	1398
71	137	1388
72	138	1379
73	139	1367
74	140	1357
75	141	1351
76	143	1343
77	144	1337
78	145	1328
79	146	1317
80	147	1310
81	148	1298
82	148	1286
83	149	1276
84	151	1271
85	152	1266
86	153	1258
87	154	1253
88	155	1244
89	156	1234
90	158	1231
91	159	1230
92	160	1222
93	161	1212
94	162	1205
95	163	1198
96	164	1194
97	165	1186
98	166	1176
99	167	1169
100	168	1164
101	169	1159
102	170	1151
103	170	1142
104	171	1137
105	172	1129
106	173	1122
107	174	1118
108	175	1111
109	176	1106
110	177	1099
111	177	1091
112	178	1085
113	179	1081
114	181	1083
115	182	1076
116	183	1072
117	184	1067
118	185	1062
119	186	1056
120	187	1052
121	188	1049
122	189	1045
123	191	1042
124	192	1036
125	193	1032
126	194	1028
127	194	1021
128	195	1015
129	196	1012
130	197	1008
131	197	1001
132	198	996
133	199	989
134	199	982
135	200	976
136	201	973
137	201	968
138	202	963
139	203	960
140	205	958
141	206	958
142	207	954
143	209	952
144	209	947
145	210	944
146	211	941
147	212	938
148	214	935
149	214	931
150	216	928
151	217	926
152	217	920
153	218	914
154	219	912
155	219	907
156	221	905
157	221	901
158	223	899
159	224	898
160	226	897
161	227	895
162	228	893
163	229	890
164	230	887
165	231	882
166	232	880
167	233	877
168	234	876
169	236	874
170	237	873
171	238	871
172	239	868
173	240	865
174	242	865
175	243	864
176	245	863
177	246	859
178	247	858
179	248	854
180	249	852
181	250	850
182	252	849
183	252	846
184	253	842
185	254	840
186	255	837
187	256	834
188	257	831
189	258	830
190	259	828
191	261	826
192	262	825
193	263	822
194	264	821
195	265	818
196	267	817
197	268	816
198	270	815
199	271	814
200	272	811
201	273	810
202	274	808
203	275	806
204	276	803
205	278	803
206	280	803
207	282	803
208	284	803
209	285	803
210	287	802
211	288	798
212	289	796
213	289	793
214	291	791
215	292	789
216	293	788
217	294	786
218	295	783
219	296	782
220	298	782
221	300	783
222	301	780
223	302	778
224	303	776
225	305	774
226	306	773
227	307	771
228	308	769
229	309	767
230	310	765
231	312	763
232	313	763
233	314	760
234	315	759
235	317	758
236	318	756
237	319	754
238	320	752
239	321	750
240	323	749
241	324	748
242	325	746
243	326	745
244	328	744
245	330	743
246	331	742
247	332	741
248	334	739
249	335	738
250	337	737
251	338	735
252	339	734
253	340	732
254	341	730
255	343	729
256	344	728
257	346	727
258	347	725
259	348	723
260	349	721
261	350	720
262	352	719
263	353	717
264	354	716
265	356	715
266	357	713
267	358	711
268	360	711
269	362	711
270	364	710
271	365	709
272	366	707
273	367	706
274	370	706
275	371	704
276	372	703
277	374	702
278	375	701
279	377	700
280	378	699
281	379	697
282	381	697
283	382	695
284	384	694
285	385	693
286	387	692
287	389	692
288	391	692
289	393	692
290	396	692
291	397	691
292	399	691
293	400	690
294	402	688
295	403	687
296	405	686
297	406	684
298	407	682
299	409	681
300	410	680
301	412	679
302	413	678
303	415	677
304	416	676
305	417	674
306	419	673
307	420	671
308	422	670
309	423	669
310	424	667
311	426	666
312	427	665
313	428	663
314	430	662
315	431	661
316	433	660
317	434	658
318	435	656
319	436	655
320	438	654
321	439	652
322	441	651
323	442	650
324	443	648
325	444	646
326	446	645
327	447	643
328	448	642
329	450	640
330	451	639
331	451	637
332	452	635
333	455	635
334	457	634
335	459	634
